,ID,Genero,Auto,Propiedad,Hijos,Ingreso_anual,Tipo_trabajo,Nivel_educativo,Estado_civil,Vivienda,Telefono_laboral,Telefono_fijo,Email,Ocupacion,Tamaño_familia,Desempleado,Años_empleado,Edad
51186,5156512,M,0,1,0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Drivers,2,0,2.51,33.18
51190,5156516,M,1,1,2,270000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,unknown,4,0,3.1,35.19
51196,5156522,M,1,1,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Managers,2,0,21.68,49.65
51199,5156548,M,1,1,0,54000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,unknown,2,0,18.51,53.98
51206,5156556,F,0,1,0,81000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Cleaning staff,2,0,3.35,39.2
51210,5156560,F,1,1,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,57.66
51212,5156561,F,0,1,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,3,0,11.52,37.31
51218,5156568,F,0,1,2,270000.0,State servant,Higher education,Married,House / apartment,0,0,0,Managers,4,0,11.01,41.21
51222,5156572,F,0,0,1,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3,0,8.1,26.65
51238,5156589,F,0,1,0,40500.0,Pensioner,Incomplete higher,Married,House / apartment,0,0,0,unknown,2,1,0.0,64.63
51239,5156592,M,1,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2,0,20.84,47.75
51241,5156597,F,0,1,2,270000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,4,0,12.76,41.77
51253,5156609,F,0,0,0,157500.0,Working,Incomplete higher,Civil marriage,With parents,1,1,0,Core staff,2,0,2.51,22.63
51256,5156612,F,0,1,1,90000.0,Working,Higher education,Married,House / apartment,0,0,1,High skill tech staff,3,0,3.1,30.78
51258,5156614,F,0,1,0,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Cooking staff,2,0,21.01,45.21
51259,5156622,M,1,1,0,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,64.26
51264,5156628,F,0,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Security staff,2,0,23.01,58.47
51266,5156631,M,1,1,1,135000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,Drivers,2,0,2.18,33.92
51267,5156635,F,1,1,0,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,59.48
51269,5156640,F,0,1,0,94500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,61.16
51279,5156650,F,0,1,0,94500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,55.17
51291,5156661,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,53.43
51299,5156669,F,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,26.68,48.63
51301,5156674,F,1,1,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Sales staff,1,0,13.84,53.72
51302,5156677,M,0,1,1,247500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,3,0,0.6,33.23
51311,5156684,M,0,1,0,202500.0,Working,Higher education,Married,House / apartment,0,0,0,Laborers,2,0,1.68,51.0
51314,5156687,F,1,1,0,247500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2,0,2.35,46.03
51321,5156696,M,0,1,0,166500.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,0,2.84,43.83
51330,5156710,F,0,1,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,Sales staff,2,0,1.35,44.12
51333,5156712,F,0,1,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,56.71
51336,5156719,M,0,1,0,247500.0,State servant,Higher education,Married,House / apartment,0,0,0,unknown,2,0,6.26,27.33
51342,5156727,M,1,0,1,103500.0,Working,Secondary / secondary special,Married,Rented apartment,0,0,0,Laborers,3,0,7.43,32.23
51349,5156733,F,0,1,0,81000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Medicine staff,1,0,5.43,52.51
51356,5156740,F,0,0,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Cooking staff,2,0,2.68,37.89
51360,5156745,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,56.41
51365,5156749,M,1,1,0,81000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,unknown,2,0,6.26,53.71
51366,5156750,M,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,64.5
51368,5156756,F,0,1,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Sales staff,3,0,2.68,33.76
51374,5156762,F,0,1,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,High skill tech staff,3,0,10.6,49.87
51376,5156767,F,1,0,0,112500.0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,unknown,1,0,4.84,46.68
51381,5156776,M,0,1,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Laborers,1,0,7.43,55.69
51385,5156780,F,1,1,0,301500.0,State servant,Higher education,Civil marriage,House / apartment,0,0,0,Core staff,2,0,3.1,48.14
51393,5156788,F,0,1,1,157500.0,State servant,Higher education,Single / not married,House / apartment,0,0,0,Accountants,2,0,0.51,38.78
51394,5156799,M,0,1,0,382500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,4.51,32.38
51396,5156801,F,0,1,0,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,55.86
51401,5156810,F,0,1,0,36000.0,Pensioner,Lower secondary,Widow,House / apartment,0,0,0,unknown,1,1,0.0,62.57
51403,5156812,F,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2,0,6.84,29.72
51407,5156819,F,0,1,0,90000.0,Working,Higher education,Single / not married,House / apartment,0,0,0,High skill tech staff,1,0,1.43,25.71
51408,5156820,F,0,1,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,64.1
51418,5156829,F,0,1,0,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,56.47
51421,5156836,F,0,1,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,58.21
51425,5156840,F,0,1,2,81000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Managers,4,0,7.01,30.95
51426,5156842,F,0,1,0,40500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,57.28
51429,5156845,F,0,1,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,unknown,1,1,0.0,63.73
51431,5156849,F,0,1,0,144000.0,Pensioner,Higher education,Single / not married,House / apartment,0,0,0,unknown,1,1,0.0,63.93
51438,5156855,F,1,0,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,57.6
51440,5156857,F,0,1,1,90000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Sales staff,2,0,2.93,49.05
51443,5156860,F,0,0,1,112500.0,State servant,Higher education,Separated,House / apartment,1,1,0,Core staff,2,0,9.68,28.24
51448,5156867,F,0,1,0,76500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,unknown,1,1,0.0,62.72
51453,5156872,F,0,1,0,130500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,61.59
51456,5156878,M,1,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,61.25
51458,5156882,F,0,0,0,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,0,unknown,1,1,0.0,62.81
51459,5156883,F,0,1,0,134100.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,1,0,unknown,1,1,0.0,52.17
51468,5156901,F,0,1,0,180000.0,Working,Higher education,Married,With parents,0,0,1,Core staff,2,0,1.18,24.07
51469,5156902,F,0,1,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,1,1,0,Accountants,2,0,6.18,33.32
51472,5156906,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,unknown,1,1,0.0,61.44
51478,5156912,M,1,1,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,0,0,0,Core staff,2,0,0.76,28.92
51480,5156919,F,0,1,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,60.33
51483,5156922,F,0,1,1,175500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,Accountants,3,0,16.1,41.97
51493,5156933,F,0,1,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,55.38
51495,5156936,F,0,1,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,57.76
51497,5156938,M,1,0,0,292500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,unknown,2,0,7.35,56.64
51506,5156951,M,0,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,60.79
51508,5156953,F,1,1,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,62.33
51511,5156968,M,1,1,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,3,0,5.43,43.78
51514,5156973,F,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2,0,3.01,39.75
51521,5156980,M,1,1,1,166500.0,State servant,Incomplete higher,Married,House / apartment,1,0,0,Security staff,3,0,6.01,28.54
51527,5156986,F,0,1,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,59.85
51530,5156992,M,1,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,22.68,54.07
51541,5157007,F,0,1,0,135000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,0,unknown,1,1,0.0,57.09
51543,5157009,M,1,1,0,225000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Laborers,1,0,10.68,43.4
51544,5157010,F,0,1,0,42750.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,unknown,1,1,0.0,60.7
51550,5157017,M,0,1,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,Core staff,4,0,6.09,30.32
51559,5157026,M,1,1,0,135000.0,State servant,Higher education,Married,House / apartment,0,0,0,Managers,2,0,3.35,39.6
51562,5157030,M,1,1,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,4,0,3.1,29.7
51563,5157031,F,0,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,58.34
51571,5157039,M,1,1,0,247500.0,Working,Secondary / secondary special,Married,With parents,0,0,0,Laborers,2,0,4.76,23.21
51578,5157046,F,0,1,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,58.49
51584,5157053,F,1,1,2,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,unknown,4,0,5.35,32.03
51590,5157059,M,1,1,0,247500.0,Working,Higher education,Civil marriage,House / apartment,0,1,0,Laborers,2,0,2.51,33.7
51594,5157063,M,0,1,1,292500.0,Working,Higher education,Married,House / apartment,0,0,0,High skill tech staff,3,0,11.76,29.81
51601,5157076,F,1,1,0,157500.0,Working,Higher education,Married,House / apartment,1,1,0,Managers,2,0,19.26,43.46
51605,5157080,M,1,1,1,99000.0,Working,Secondary / secondary special,Married,With parents,1,1,0,Low-skill Laborers,3,0,1.35,27.07
51608,5157094,F,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,0,1,0,Laborers,1,0,5.18,41.89
51610,5157098,M,1,1,1,153000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,3,0,4.18,25.15
51616,5157106,F,0,0,0,126000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,unknown,1,1,0.0,64.65
51622,5157117,F,1,1,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,Cleaning staff,2,0,7.52,47.39
51624,5157119,F,0,0,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,58.37
51627,5159182,F,0,1,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cleaning staff,2,0,9.7,50.74
51630,5159184,M,0,1,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,High skill tech staff,2,0,6.36,63.66
51635,5159185,M,1,0,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2,0,4.86,40.68
51647,5159187,F,1,1,1,148500.0,Commercial associate,Higher education,Separated,House / apartment,0,1,0,Accountants,2,0,0.28,37.06
51653,5159189,F,0,1,0,139500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,1,0,High skill tech staff,2,0,3.62,40.51
51664,5159191,M,1,1,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,3,0,4.03,51.81
51669,5159193,M,0,1,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,4,0,14.28,35.1
51680,5159195,M,1,0,0,270000.0,Working,Higher education,Civil marriage,House / apartment,0,0,0,Laborers,2,0,7.53,54.4
51682,5159198,F,0,1,0,67500.0,Pensioner,Higher education,Married,House / apartment,0,1,0,unknown,2,1,0.0,66.03
51689,5159200,M,1,1,0,225000.0,Working,Higher education,Married,House / apartment,0,0,0,unknown,2,0,8.7,50.3
51695,5159201,F,0,0,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,4,0,1.27,39.14
51705,5159204,F,0,1,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2,0,5.35,44.01
51707,5159207,F,1,0,0,85500.0,Working,Secondary / secondary special,Married,Municipal apartment,0,0,0,unknown,2,0,0.77,44.42
51709,5159209,M,1,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2,0,19.7,38.42
51714,5159211,F,0,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,High skill tech staff,2,0,31.45,50.15
51722,5159213,F,0,1,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,56.62
51736,5159215,F,0,1,0,337500.0,Working,Secondary / secondary special,Widow,House / apartment,1,1,0,Accountants,1,0,5.03,53.8
51747,5159216,M,0,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Managers,2,0,8.62,56.52
51756,5159218,F,1,1,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,3,0,21.02,48.84
51770,5159219,F,0,0,0,112500.0,Working,Secondary / secondary special,Married,Rented apartment,0,0,0,Laborers,2,0,5.44,46.8
51777,5159220,F,1,1,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,3,0,0.27,33.47
51786,5159222,F,1,1,0,157500.0,Pensioner,Incomplete higher,Married,House / apartment,0,1,0,unknown,2,1,0.0,42.03
51790,5159223,F,1,1,1,157500.0,Commercial associate,Higher education,Married,House / apartment,0,1,0,Managers,3,0,8.11,39.15
51792,5159225,F,0,0,1,117000.0,Pensioner,Higher education,Married,House / apartment,0,0,0,unknown,3,1,0.0,27.06
51793,5159226,F,0,1,0,81000.0,Commercial associate,Secondary / secondary special,Single / not married,Office apartment,0,0,0,unknown,1,0,2.27,56.55
51801,5159227,F,0,1,0,144000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0,1,0,unknown,1,1,0.0,59.11
51806,5159228,F,0,1,0,103500.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Laborers,1,0,23.69,41.89
51813,5159229,F,0,1,1,270000.0,Working,Higher education,Married,House / apartment,0,0,0,Core staff,3,0,5.62,28.5
51820,5159230,F,0,1,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Private service staff,2,0,3.11,46.95
51826,5159231,F,0,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cooking staff,2,0,4.53,44.79
51830,5159232,F,0,1,0,67500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,0,unknown,1,1,0.0,58.46
51834,5159233,F,0,1,0,225000.0,Working,Secondary / secondary special,Separated,House / apartment,0,1,0,Laborers,1,0,10.45,50.77
51851,5159238,F,0,1,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,2,0,0.28,47.06
51857,5159241,M,0,1,1,225000.0,Working,Higher education,Married,House / apartment,0,0,0,unknown,3,0,2.28,32.18
51860,5159246,M,1,1,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2,0,7.27,31.59
51861,5159247,F,0,1,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Sales staff,2,0,7.61,38.47
51873,5159250,F,1,1,0,261000.0,Working,Higher education,Married,House / apartment,0,1,0,unknown,2,0,7.61,47.09
51884,5159251,F,0,1,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Sales staff,1,0,2.27,49.04
51887,5159252,M,1,1,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,1,Managers,3,0,13.85,40.58
51893,5159255,M,1,1,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,7.35,52.43
51897,5159256,F,1,1,2,72000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,4,0,8.61,39.04
51910,5159257,F,0,0,2,45000.0,Working,Higher education,Married,House / apartment,0,0,0,Core staff,4,0,3.27,33.57
51914,5159258,F,0,1,1,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,unknown,2,1,0.0,49.46
51921,5159259,F,1,1,2,90000.0,State servant,Higher education,Married,House / apartment,0,0,0,unknown,4,0,4.27,31.86
51924,5159260,F,0,1,1,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Medicine staff,3,0,3.62,34.04
51925,5159262,F,0,0,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Core staff,2,0,5.2,28.88
51936,5159264,F,0,1,1,108000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,Sales staff,3,0,5.11,30.92
51940,5159265,M,1,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2,0,8.85,41.34
51942,5159266,M,1,1,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,9.69,35.55
51952,5159269,F,0,1,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Sales staff,4,0,3.44,32.18
51977,5159272,F,0,1,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,unknown,2,0,5.6,49.75
51980,5159274,F,0,1,1,261000.0,Working,Higher education,Married,House / apartment,0,0,0,unknown,3,0,6.27,40.53
51985,5159275,M,1,0,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Sales staff,1,0,2.2,26.64
52000,5159277,F,0,1,0,222750.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,unknown,2,1,0.0,62.54
52011,5159279,M,1,1,0,225000.0,Working,Incomplete higher,Married,House / apartment,0,1,0,Drivers,2,0,8.35,48.4
52015,5159280,F,0,1,0,173700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,2.93,39.25
52019,5159281,F,0,1,0,85500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,0,6.18,53.65
52022,5159282,F,0,1,0,180000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,unknown,1,1,0.0,66.35
52027,5159283,F,0,1,0,157500.0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,unknown,1,0,10.7,52.95
52038,5159288,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,unknown,2,0,8.35,57.12
52043,5159289,F,0,1,0,157500.0,Pensioner,Higher education,Married,House / apartment,0,0,0,unknown,2,1,0.0,60.22
52055,5159290,M,0,0,0,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,54.87
52057,5159292,F,0,1,0,202500.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,Cooking staff,1,0,2.93,47.86
52064,5159293,F,0,1,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Accountants,4,0,5.02,37.14
52074,5159295,M,0,0,1,337500.0,Working,Higher education,Married,House / apartment,0,0,0,Drivers,3,0,9.93,39.74
52079,5159297,M,0,1,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,6.02,54.02
52080,5159298,F,1,1,1,202500.0,State servant,Higher education,Married,House / apartment,0,0,0,Core staff,3,0,0.7,37.91
52087,5159299,F,0,1,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,3,0,6.28,44.64
52089,5159300,M,1,1,0,360000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,66.72
52094,5159301,F,0,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,58.05
52096,5159302,F,0,1,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Cleaning staff,2,0,2.69,54.01
52100,5159303,F,0,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,High skill tech staff,2,0,42.52,62.04
52103,5159304,F,1,1,0,247500.0,Commercial associate,Higher education,Separated,House / apartment,0,0,0,Managers,1,0,3.35,52.0
52105,5159306,F,0,0,2,90000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Sales staff,3,0,0.28,36.27
52106,5159307,F,0,0,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,IT staff,4,0,0.94,30.69
52111,5159308,M,1,0,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,3,0,0.62,30.5
52114,5159310,F,0,0,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,0,11.28,43.05
52117,5159312,M,1,1,0,216000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2,0,2.18,36.54
52124,5159313,M,0,1,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,3,0,4.52,34.15
52132,5159315,F,0,1,2,112500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,0,0,0,Laborers,3,0,2.02,41.03
52135,5159316,F,0,1,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,60.87
52141,5159320,F,0,1,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,1,0,unknown,1,0,0.44,55.99
52150,5159321,M,1,1,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Drivers,1,0,1.78,37.36
52155,5159323,F,0,1,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,63.33
52159,5159325,F,0,1,0,292500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,unknown,1,0,6.11,60.42
52161,5159326,F,0,1,0,180000.0,Working,Secondary / secondary special,Married,Office apartment,0,0,0,Cleaning staff,2,0,0.94,53.27
52164,5159327,F,0,0,1,135000.0,Commercial associate,Secondary / secondary special,Married,With parents,0,0,0,unknown,3,0,5.1,28.94
52179,5159328,F,0,1,0,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,65.66
52191,5159332,F,0,1,0,216000.0,Working,Higher education,Single / not married,House / apartment,1,1,0,High skill tech staff,1,0,18.85,57.48
52193,5159333,M,1,1,1,130500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Core staff,3,0,4.45,39.77
52197,5159337,F,1,1,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2,0,8.28,40.85
52208,5159339,M,0,0,0,112500.0,Working,Secondary / secondary special,Civil marriage,With parents,0,0,0,unknown,2,0,4.28,28.12
52211,5159341,F,1,1,0,162000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,unknown,2,0,2.36,50.78
52214,5159345,F,0,1,0,121500.0,Pensioner,Higher education,Separated,House / apartment,0,0,0,unknown,1,1,0.0,63.41
52217,5159346,F,0,1,0,94500.0,Working,Secondary / secondary special,Single / not married,With parents,0,0,0,Sales staff,1,0,2.1,22.93
52220,5159347,M,1,1,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,High skill tech staff,1,0,0.93,23.15
52225,5159348,M,1,1,0,315000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,61.04
52236,5159349,F,1,1,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2,0,17.52,42.21
52240,5159352,F,0,1,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,65.21
52248,5159354,F,0,1,1,180000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,High skill tech staff,3,0,3.85,42.77
52254,5159355,F,0,1,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2,0,1.36,57.18
52261,5159356,F,1,1,0,157500.0,Working,Higher education,Married,With parents,0,0,0,unknown,2,0,2.78,36.17
52267,5159357,M,1,1,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2,0,7.86,37.24
52282,5159360,F,1,1,0,288000.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,2,0,10.1,31.71
52288,5159361,F,0,1,1,135000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,0,0,0,Sales staff,2,0,0.52,37.99
52299,5159364,F,0,1,0,135000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,unknown,2,1,0.0,58.17
52305,5159365,F,0,1,0,225000.0,State servant,Higher education,Separated,House / apartment,0,0,0,Core staff,1,0,8.35,64.4
52309,5159366,F,0,1,0,130500.0,Working,Secondary / secondary special,Married,With parents,0,0,0,unknown,2,0,0.44,39.26
52318,5159369,F,0,1,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,55.92
52327,5159370,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0,0,1,unknown,1,1,0.0,58.03
52330,5159371,F,0,0,0,126000.0,Pensioner,Higher education,Married,House / apartment,0,0,0,unknown,2,1,0.0,67.24
